,id,host_id,comuna,latitude,longitude,bathrooms,bedrooms,beds,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,total_price,tipo,ingresos_25p,ingresos_50p,ingresos_75p,ingresos_100p
2,50474,231667,Las Condes,-33.41014000000001,-70.57585,1,1,1.0,36864.0,36864.0,9,22,52,327,90,92.0,73728.0,1D+1B,405504.0,589824.0,774144.0,1142784.0
3,52811,244792,Providencia,-33.42889,-70.61988000000001,1,1,1.0,50269.0,26810.0,28,58,88,363,42,91.0,77079.0,1D+1B,529500.0,780845.0,1032190.0,1534880.0
4,53917,252213,Santiago,-33.43524,-70.64544000000001,1,1,1.0,28150.0,0.0,0,3,33,33,7,94.0,28150.0,1D+1B,281500.0,422250.0,563000.0,844500.0
5,55303,261079,Providencia,-33.42329,-70.60885999999999,2,2,4.0,73727.0,0.0,30,60,90,365,2,100.0,73727.0,2D+2B,737270.0,1105905.0,1474540.0,2211810.0
6,55884,264378,Santiago,-33.43518,-70.65786,1,1,2.0,22788.0,18767.0,13,32,53,314,208,93.0,41555.0,1D+1B,246647.0,360587.0,474527.0,702407.0
7,69050,344461,Santiago,-33.44755,-70.65298,1,1,2.0,46917.0,0.0,30,60,90,365,7,93.0,46917.0,1D+1B,469170.0,703755.0,938340.0,1407510.0
9,85324,467328,Santiago,-33.45417,-70.652,1,1,1.0,40215.0,20107.0,13,42,72,347,10,87.0,60322.0,1D+1B,422257.0,623332.0,824407.0,1226557.0
10,88944,485358,Providencia,-33.4222,-70.60846,1,1,1.0,26810.0,33512.0,5,11,31,270,138,94.0,60322.0,1D+1B,301612.0,435662.0,569712.0,837812.0
12,90694,491253,Providencia,-33.4259,-70.61692,1,1,1.0,48928.0,26810.0,4,34,64,339,54,93.0,75738.0,1D+1B,516090.0,760730.0,1005370.0,1494650.0
15,100928,529578,Santiago,-33.43419,-70.65823,1,1,2.0,26810.0,16756.0,29,59,89,364,3,100.0,43566.0,1D+1B,284856.0,418906.0,552956.0,821056.0
17,122810,614958,Recoleta,-33.42361,-70.63984,1,1,1.0,24799.0,0.0,1,1,16,242,8,100.0,24799.0,1D+1B,247990.0,371985.0,495980.0,743970.0
18,135927,491253,Providencia,-33.42989,-70.62278,2,2,4.0,79760.0,32842.0,30,60,90,365,37,95.0,112602.0,2D+2B,830442.0,1229242.0,1628042.0,2425642.0
20,139484,678317,Santiago,-33.43489,-70.64532,1,1,1.0,20107.0,27480.0,30,60,90,365,11,93.0,47587.0,1D+1B,228550.0,329085.0,429620.0,630690.0
21,154395,716143,Las Condes,-33.41385,-70.58173000000001,2,2,4.0,47588.0,0.0,22,52,82,357,156,98.0,47588.0,2D+2B,475880.0,713820.0,951760.0,1427640.0
22,154615,743719,Las Condes,-33.41520999999999,-70.60155999999999,1,1,1.0,30161.0,13405.0,13,43,73,348,32,88.0,43566.0,1D+1B,315015.0,465820.0,616625.0,918235.0
23,156413,752058,Recoleta,-33.43336,-70.64288,1,1,1.0,24799.0,16756.0,0,10,40,315,35,90.0,41555.0,1D+1B,264746.0,388741.0,512736.0,760726.0
